Woningtype	Oppervlakteklasse	Jaar	Gemeente	Beginstand woningvoorraad
Meergezinswoning	100 tot 150 m²	2013	Heemstede	742
Meergezinswoning	100 tot 150 m²	2014	Heemstede	790
Meergezinswoning	100 tot 150 m²	2015	Heemstede	800
Meergezinswoning	100 tot 150 m²	2016	Heemstede	867
Meergezinswoning	100 tot 150 m²	2017	Heemstede	863
Meergezinswoning	100 tot 150 m²	2018	Heemstede	864
Meergezinswoning	100 tot 150 m²	2019	Heemstede	870
Meergezinswoning	100 tot 150 m²	2020	Heemstede	877
Meergezinswoning	100 tot 150 m²	2021	Heemstede	916
Meergezinswoning	100 tot 150 m²	2022	Heemstede	845
Meergezinswoning	100 tot 150 m²	2023	Heemstede	838
Meergezinswoning	100 tot 150 m²	2024	Heemstede	839
Meergezinswoning	100 tot 150 m²	2025	Heemstede	841
Meergezinswoning	150 tot 250 m²	2012	Heemstede	207
Meergezinswoning	150 tot 250 m²	2013	Heemstede	211
Meergezinswoning	150 tot 250 m²	2014	Heemstede	205
Meergezinswoning	150 tot 250 m²	2015	Heemstede	205
Meergezinswoning	150 tot 250 m²	2016	Heemstede	212
Meergezinswoning	150 tot 250 m²	2017	Heemstede	210
Meergezinswoning	150 tot 250 m²	2018	Heemstede	207
Meergezinswoning	150 tot 250 m²	2019	Heemstede	213
Meergezinswoning	150 tot 250 m²	2020	Heemstede	216
Meergezinswoning	150 tot 250 m²	2021	Heemstede	246
Meergezinswoning	150 tot 250 m²	2022	Heemstede	249
Meergezinswoning	150 tot 250 m²	2023	Heemstede	243
Meergezinswoning	150 tot 250 m²	2024	Heemstede	247
Meergezinswoning	150 tot 250 m²	2025	Heemstede	244
Meergezinswoning	250 tot 500 m²	2012	Heemstede	21
Meergezinswoning	250 tot 500 m²	2013	Heemstede	20
Meergezinswoning	250 tot 500 m²	2014	Heemstede	17
Meergezinswoning	250 tot 500 m²	2015	Heemstede	18
Meergezinswoning	250 tot 500 m²	2016	Heemstede	48
Meergezinswoning	250 tot 500 m²	2017	Heemstede	48
Meergezinswoning	250 tot 500 m²	2018	Heemstede	48
Meergezinswoning	250 tot 500 m²	2019	Heemstede	48
Meergezinswoning	250 tot 500 m²	2020	Heemstede	48
Meergezinswoning	250 tot 500 m²	2021	Heemstede	49
Meergezinswoning	250 tot 500 m²	2022	Heemstede	50
Meergezinswoning	250 tot 500 m²	2023	Heemstede	48
Meergezinswoning	250 tot 500 m²	2024	Heemstede	48
Meergezinswoning	250 tot 500 m²	2025	Heemstede	46
Meergezinswoning	500 tot 10 000 m²	2012	Heemstede	2
Meergezinswoning	500 tot 10 000 m²	2013	Heemstede	2
Meergezinswoning	500 tot 10 000 m²	2014	Heemstede	1
Meergezinswoning	500 tot 10 000 m²	2015	Heemstede	1
Meergezinswoning	500 tot 10 000 m²	2016	Heemstede	4
Meergezinswoning	500 tot 10 000 m²	2017	Heemstede	4
Meergezinswoning	500 tot 10 000 m²	2018	Heemstede	4
Meergezinswoning	500 tot 10 000 m²	2019	Heemstede	4
Meergezinswoning	500 tot 10 000 m²	2020	Heemstede	4
Meergezinswoning	500 tot 10 000 m²	2021	Heemstede	4
Meergezinswoning	500 tot 10 000 m²	2022	Heemstede	4
Meergezinswoning	500 tot 10 000 m²	2023	Heemstede	4
Meergezinswoning	500 tot 10 000 m²	2024	Heemstede	5
Meergezinswoning	500 tot 10 000 m²	2025	Heemstede	5
